Expedia,Booking.com
"Deluxe Room, 1 King Bed",Deluxe King Room
"Standard Room, 1 King Bed, Accessible",Standard King Roll-in Shower Accessible
"Grand Corner King Room, 1 King Bed",Grand Corner King Room
"Suite, 1 King Bed (Parlor)",King Parlor Suite
"High-Floor Premium Room, 1 King Bed",High-Floor Premium King Room
"Traditional Double Room, 2 Double Beds",Double Room with Two Double Beds
"Room, 1 King Bed, Accessible",King Room - Disability Access
"Deluxe Room, 1 King Bed",Deluxe King Room
Deluxe Room,Deluxe Room (Non Refundable)
"Room, 2 Double Beds (19th to 25th Floors)",Two Double Beds - Location Room (19th to 25th Floors)
"Room, 1 King Bed (19th to 25 Floors)",King Bed - Location Room (19th to 25th Floors)
Deluxe Room,Deluxe Double Room
"Junior Suite, 1 King Bed with Sofa Bed",Junior Suite
"Signature Room, 2 Queen Beds",Signature Two Queen
"Signature Room, 1 King Bed",Signature One King
"Premium Room, 2 Queen Beds",Premium Two Queen
"Studio, 1 King Bed with Sofa bed, Corner",Corner King Studio
"Club Room, 2 Queen Beds",Club Two Queen
"Club Room, 1 King Bed",Club One King
"Club Room, Premium 2 Queen Beds",Club Premium Two Queen
"Suite, 1 Bedroom",One Bedroom Suite
"Deluxe Room, City View",Deluxe King Or Queen Room
"Deluxe Room, Lake View",Deluxe King Or Queen Room with Lake View
"Club Room, City View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with City View
"Club Room, Lake View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with Water View
"Deluxe Room, 1 King Bed",Deluxe Room - One King Bed
"Deluxe Room, 2 Queen Beds",Deluxe Room - Two Queen Beds
"Premier Room, 1 King Bed (Royal Club)",Royal Club Premier Room - One King Bed
"Room, 2 Double Beds, Non Smoking",Double Room with Two Double Beds
"Room, 1 King Bed, Non Smoking (LEISURE)",King Room
"Executive Room, 1 King Bed, Non Smoking",Executive King Room
"Suite, 1 King Bed, Non Smoking",King Suite
"Room, 1 Queen Bed, Non Smoking (Fairmont Room)",Queen Room
"Luxury Room, 1 Queen Bed, Non Smoking",Luxury Queen
"Luxury Room, 1 King Bed, Non Smoking",Luxury King
"Luxury Room, 2 Double Beds, Non Smoking",Luxury Double Room
"Deluxe Room, 1 King Bed, Non Smoking",Deluxe King Room
"Signature Room, 2 Double Beds, Non Smoking",Signature Double
"Signature Room, 1 King Bed, Non Smoking",Signature King
"Fairmont Gold, Suite, 1 King Bed, Non Smoking",Gold King Suite
"Room, 1 King Bed, Non Smoking, Business Lounge Access (Fairmont Gold)",Business King Room - Exclusive access to Gold Floor Lounge
"Room, 1 King Bed",King Room
Double Room,Double Room with Two Double Beds
"Business Plan, 1 King Bed",Business King Room
"Room, 1 Queen Bed, City View",Queen Room With City View
"Business Double Room, 2 Double Beds",Business Double Room With Two Double Beds
"Room, 2 Queen Beds, City View",Queen Room With Two Queen Beds and City View
Deluxe Suite,Deluxe Suite
"Room, 1 Queen Bed, Accessible, Bathtub",Queen Room - Disability Access
"Room, 1 King Bed",King Room
"Room, 2 Double Beds",Double Room with Two Double Beds
"King Room, Suite, 1 King Bed with Sofa bed",Deluxe King Suite With Sofa Bed
"Deluxe Suite, 1 King Bed, Non Smoking, Kitchen",Deluxe King Suite With Kitchenette
"Deluxe Room, 1 King Bed",Deluxe King Room
"Premier Room, 1 King Bed",Premier King Room
Premier Twin Room,Premier Queen Room With Two Queen Beds
"Suite, 1 Bedroom",One - Bedroom Suite
"Deluxe Suite, 1 Bedroom",Deluxe One - Bedroom Suite
"Classic Room, 1 King Bed",Classic King Room
"Luxury Room, 2 Queen Beds (Prestige)",Luxury Queen Room With Two Queen Beds
"Signature Suite, 1 Bedroom",One-Bedroom Suite
"Traditional Room, 1 King Bed",Standard King Room
"Room, 1 Queen Bed",Standard Queen Room With One Queen Bed
"Room, Accessible",Queen Room - Disability Access
"Deluxe Room, 1 Queen Bed (High Floor)",Deluxe Queen Room - High Floor With Free Wi-Fi
"Premium Room, 1 King Bed",Premium King Room With Free Wi-Fi
"Premium Room, 1 Queen Bed",Premium Queen Room With Free Wi-Fi
"Room, 1 King Bed, Pool View",King Room With Pool View
"Room, 2 Queen Beds, Garden View",Queen Room With Two Queen Beds and Garden View
"Club Room, 1 King Bed",Club King Room With Free Wi-Fi
"Club Room, 2 Queen Beds",Club Queen Room With Two Queen Beds and Free Wi-Fi
"Standard Room, Mountain View (Scenic)",Standard Room With Mountain View
"Standard Room, Lagoon View",Standard Room Dolphin Lagoon View
"Standard Room, Ocean View",Standard Room With Ocean View
"Standard Room, Oceanfront",Standard Room With Ocean Front View
"City Room, City View",Room With City View
"Room, Partial Ocean View",Partical Ocean View Room
"Deluxe Room, Corner",Corner Deluxe Studio
"Room, Ocean View ",Room With Ocean View
"Room, 1 King Bed, City View",City View With One King Bed
"Room, 2 Double Beds, City View",City View With Two Double Beds
"Room, 2 Double Beds, Partial Ocean View",Partial Ocean View With Two Double Beds
"Room, 2 Double Beds, Accessible, Partial Ocean View",Accessible Partial Ocean View With Two Double Beds
"Room, 2 Double Beds, Ocean View (Diamond Head)",Club Diamond Head Ocean View With Two Double Beds 
"Club Room, 1 King Bed, Oceanfront",Club Ocean Front With One King Bed
"Club Suite, 1 King Bed, Accessible, Ocean View",Accessible Club Ocean View Suite With One King Bed
"Club Suite, 1 King Bed, Oceanfront (No Resort Charge)",Club Ocean Front Suite King Bed
"Standard Room, Mountain View (City View - Kona Tower) - No Resort Fee",Kona Tower City / Mountain View
"Standard Room, Partial Ocean View (Kona Tower) - No Resort Fee",Kona Tower Partial Ocean View
"Standard Room, Partial Ocean View (Waikiki Tower) - No Resort Fee",Waikiki Tower Partial Ocean View
"Standard Room, Ocean View (Waikiki Tower) - No Resort Fee",Waikiki Tower Ocean View
"Room, 2 Queen Beds (Waikiki View)",Queen Room With Two Queen Beds and Waikiki View
"Room, Ocean View",King Or Two Queen Room With Ocean View
"Room, Oceanfront",One King Or Two Queens - Ocean Front
"Regency Club, Mountain View",Regency Club Mountain View
"Regency Club, Ocean View",Regency Club Ocean View
"Room, 1 King Bed, Ocean View",Ocean View Room With King Bed
"Room, 1 King Bed, Resort View (Alii)",Alii Tower Resort View With King Bed
"Room, 1 King Bed, Accessible, Resort View (Alii, Bathtub)",Alii Tower Resort View With King Bed - Mobility Accessible Tub
"Room, 1 King Bed, Accessible, View (Rainbow, Bathtub)",Rainbow Tower Ocean View With King Bed - Mobility Accessible Tub  
"Room, 1 King Bed, Ocean View (Alii)",Alii Tower Ocean View With King Bed
"Room, 1 King Bed, Oceanfront (Rainbow)",Rainbow Tower Ocean Front with King Bed
"Junior Suite, 1 King Bed, Accessible (Roll-in Shower)",Junior Suite - Accessible Roll-in Shower
